Country,Fuel Type,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Egypt,Diesel,1.8,1.89,3.0,4.73,6.33,6.75,6.75,7.0,7.92,10.96
Egypt,Petrol,2.1,2.24,3.62,5.22,6.85,6.88,7.25,8.25,9.56,12.58
El Salvador,Diesel,2.25,2.21,2.58,3.17,2.99,2.27,3.07,4.06,4.12,3.7
El Salvador,Petrol,2.5,2.63,2.93,3.38,3.13,2.52,3.5,4.11,4.21,3.9
Equatorial Guinea,Diesel,,,350.0,350.0,350.0,350.0,350.0,450.0,470.0,470.0
Equatorial Guinea,Petrol,,,480.0,480.0,480.0,480.0,480.0,492.5,495.0,495.0
Estonia,Diesel,1.04,1.03,1.18,1.31,1.33,1.1,1.24,1.79,1.61,1.54
Ethiopia,Diesel,,12.22,16.35,16.47,18.51,18.75,23.17,42.78,72.44,83.38
Ethiopia,Petrol,,15.93,18.77,18.85,21.08,21.53,25.96,42.94,69.26,82.48
Fiji,Diesel,1.64,1.38,1.54,1.84,1.86,1.67,1.94,2.83,2.6,2.49
Fiji,Petrol,2.11,1.76,1.89,2.13,2.11,1.98,2.35,2.98,2.83,2.87
Finland,Diesel,1.24,1.2,1.3,1.4,1.41,1.26,1.51,2.13,1.94,1.77
France,Diesel,1.06,1.1,1.23,1.44,1.44,1.26,1.43,1.85,1.8,1.7
French Guiana,Diesel,,,,1.43,1.46,1.29,1.49,1.86,1.78,1.8
Gabon,Diesel,470.0,470.83,504.58,591.67,642.5,606.25,585.0,585.0,583.33,575.0
Gabon,Petrol,535.0,543.33,579.17,646.67,670.42,625.0,605.0,605.0,603.33,595.0
Gambia,Diesel,,,45.23,53.71,53.27,46.09,51.11,66.64,72.18,
Gambia,Petrol,,,47.27,52.88,51.44,45.11,53.2,71.34,74.56,
Germany,Diesel,1.08,1.08,1.17,1.28,1.25,1.11,1.39,1.96,1.73,1.65
Ghana,Diesel,,,4.23,5.01,5.34,4.97,6.2,13.65,15.86,14.98
Ghana,Petrol,,,4.25,4.9,5.23,4.9,6.21,11.84,15.16,14.12
Greece,Diesel,1.1,1.07,1.27,1.39,1.38,1.19,1.37,1.87,1.7,1.63
Greenland,Diesel,6.2,5.9,5.6,5.18,5.27,5.35,4.82,4.55,4.55,5.0
Greenland,Petrol,6.05,5.75,5.45,5.03,5.12,5.2,4.67,4.4,4.4,4.85
Grenada,Diesel,12.3,12.1,13.15,14.86,14.69,12.33,14.33,14.75,15.53,14.96
Guatemala,Diesel,16.26,16.81,18.88,22.69,21.93,17.18,23.4,34.5,31.88,28.8
Guatemala,Petrol,19.54,20.79,22.82,25.79,24.71,21.24,27.93,35.65,33.73,31.19
Honduras,Diesel,,,71.55,83.85,81.31,65.78,80.74,110.77,94.93,87.77
Honduras,Petrol,,,80.43,89.85,86.14,74.51,92.25,107.78,96.51,92.26
Hungary,Diesel,1.06,1.07,1.16,1.24,1.23,1.05,1.24,1.48,1.62,1.57
India,Diesel,46.32,51.99,59.0,69.55,67.51,71.96,88.94,93.34,91.96,90.06
Indonesia,Diesel,9950.0,7858.82,7912.5,9589.58,10975.0,9850.0,10125.0,15231.25,15431.25,14445.42
Indonesia,Petrol,8750.0,7318.18,7845.83,8545.83,8772.92,8333.33,8700.0,10829.17,11531.25,11381.25
Iran,Diesel,,,,,,,4500.0,4500.0,4500.0,4500.0
Iran,Petrol,,,,,12210.0,15000.0,15000.0,15000.0,15000.0,15000.0
Iraq,Petrol,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0
Ireland,Diesel,1.2,1.15,1.25,1.34,1.32,1.2,1.41,1.9,1.66,1.7
Israel,Diesel,1.42,1.3,1.53,1.99,1.83,1.13,1.59,3.0,2.66,
Italy,Diesel,1.32,1.28,1.38,1.49,1.48,1.32,1.48,1.82,1.8,1.72
Jamaica,Diesel,89.77,96.01,110.45,133.16,135.3,118.0,143.27,212.7,187.68,174.68
Jamaica,Petrol,93.32,99.49,112.27,131.18,129.75,117.7,148.03,194.3,175.32,172.47
Japan,Diesel,107.8,102.04,112.24,128.35,126.89,116.91,134.75,150.45,152.66,154.68
Japan,Petrol,125.83,120.73,133.5,149.69,146.04,136.21,154.68,170.53,172.82,175.0
Jordan,Diesel,0.4,0.4,0.49,0.6,0.59,0.49,0.58,0.72,0.77,0.71
Jordan,Petrol,0.54,0.55,0.67,0.8,0.75,0.67,0.79,0.91,0.93,0.9
Kazakhstan,Diesel,,,,,,,214.0,,291.5,295.0
Kazakhstan,Petrol,,,,,,,170.0,170.0,196.25,205.0
Kenya,Diesel,,87.22,87.93,103.84,101.83,92.95,107.18,138.78,179.54,178.46
Kyrgyz Republic,Diesel,36.14,32.7,36.79,43.79,44.73,37.75,47.13,68.25,71.12,73.37
Kyrgyz Republic,Petrol,37.27,33.39,36.95,41.53,38.87,33.85,48.17,60.58,56.02,62.47
Lao PDR,Petrol,,7192.08,7747.92,9285.0,9153.33,8436.25,10491.39,18450.17,21591.25,23831.81
Laos,Diesel,,5984.17,6715.83,8306.67,8544.17,7711.67,9278.33,18298.4,19739.38,20430.56
Latvia,Diesel,0.99,0.95,1.05,1.19,1.2,1.04,1.23,1.78,1.6,1.59
Lebanon,Diesel,609.0,619.54,750.25,955.19,884.04,726.97,4748.32,32201.12,75101.7,72131.37
Lesotho,Diesel,9.95,9.63,10.61,12.99,13.5,11.6,14.08,22.67,22.22,21.45
Lesotho,Petrol,9.5,9.52,10.32,12.2,12.32,10.95,14.08,20.69,20.45,20.55
Liberia,Diesel,,,81.2,120.55,184.47,138.9,163.65,194.84,92.43,840.0
Liberia,Petrol,,,81.47,115.92,160.26,119.27,132.94,176.75,84.58,763.33
Lithuania,Diesel,0.97,0.95,1.03,1.15,1.14,1.0,1.18,1.75,1.5,1.46
Luxembourg,Diesel,0.93,0.92,0.99,1.1,1.1,0.97,1.22,1.74,1.53,1.48
Madagascar,Diesel,,3070.0,3174.5,3384.83,3462.5,3400.0,3400.0,4025.0,4900.0,4900.0
Madagascar,Petrol,,3640.0,3772.67,4034.75,4141.67,4100.0,4100.0,4850.0,5900.0,5900.0
Malawi,Diesel,786.46,815.8,925.37,878.55,732.36,941.57,1645.0,2055.67,2734.0,
Malaysia,Diesel,2.0,1.72,2.1,2.2,2.17,1.8,2.14,2.15,2.15,2.72
Maldives,Diesel,11.0,9.31,9.01,11.07,11.21,9.1,10.35,15.17,15.5,14.15
Mali,Diesel,637.0,608.5,,,,,,815.09,806.58,787.5
Mali,Petrol,730.0,710.0,,,,,,823.27,852.58,837.5
Malta,Diesel,1.26,1.17,1.18,1.2,1.25,1.24,1.21,1.21,1.21,1.21
Martinique,Diesel,1.04,0.98,1.15,1.27,1.32,1.16,1.36,1.81,1.68,1.68
Mauritania,Diesel,,38.78,38.46,38.46,38.46,38.46,38.46,43.68,51.0,51.0
Mauritania,Petrol,,43.21,43.64,43.64,43.64,43.64,43.64,47.96,54.0,54.0
Mauritius,Diesel,32.75,29.77,33.64,39.52,36.25,35.0,36.46,51.43,56.74,63.53
Mauritius,Petrol,41.35,39.06,43.5,49.06,45.25,44.0,48.87,69.88,71.25,65.78
Mexico,Diesel,17.06,19.36,20.07,18.87,20.42,22.22,22.87,24.48,,
Mexico,Petrol,,,16.11,18.69,19.52,18.05,20.17,21.66,22.17,23.36
Moldova,Diesel,,,,,,,17.71,25.93,21.95,20.86
Mongolia,Diesel,1790.0,1656.67,1710.65,2078.66,2336.81,2136.92,2266.49,3481.67,3655.17,3447.29
Mongolia,Petrol,1605.0,1501.67,1547.49,1694.0,1749.04,1487.81,1628.72,2351.22,2365.94,2367.5
Mozambique,Diesel,36.81,39.07,51.77,62.42,64.37,60.32,58.52,81.43,90.73,91.23
Myanmar,Diesel,662.5,2194.71,712.76,871.73,841.73,640.01,495.0,1353.33,2238.56,2659.39
Myanmar,Petrol,748.57,662.84,753.05,899.21,867.3,729.31,620.0,1238.02,2140.21,2812.48
Namibia,Diesel,,10.3,10.8,12.75,13.39,12.04,13.43,20.6,20.78,21.07
Nepal,Diesel,,,76.12,85.79,96.81,90.67,108.22,159.15,164.33,154.92
Nepal,Petrol,,,99.75,109.38,109.02,104.54,125.22,169.83,174.99,167.08
Netherlands,Diesel,1.14,1.13,1.22,1.34,1.36,1.24,1.46,1.96,1.71,1.73
New Zealand,Diesel,99.54,100.56,116.41,138.15,138.05,114.02,134.46,217.59,191.29,185.98
New Zealand,Petrol,137.48,136.39,148.6,165.23,163.48,144.91,168.24,215.74,208.57,212.64
Nicaragua,Diesel,18.93,20.44,24.02,28.88,29.12,25.06,32.18,42.29,42.31,43.2
Nicaragua,Petrol,23.24,24.68,27.89,32.09,31.72,28.71,37.65,46.61,46.8,47.8
Niger,Diesel,538.0,538.0,538.0,538.0,538.0,538.0,538.0,592.17,668.0,643.0
Niger,Petrol,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,519.5
Nigeria,Diesel,152.14,174.63,214.78,210.85,228.07,224.44,250.86,678.85,918.68,1277.36
North Macedonia,Diesel,,48.52,50.18,62.26,61.2,52.0,60.5,88.4,76.54,73.49
Norway,Diesel,11.75,11.66,13.44,14.85,14.89,13.86,15.5,21.72,20.9,21.04
Oman,Diesel,0.15,0.18,0.2,0.24,0.24,0.22,0.23,0.26,0.26,0.26
Oman,Petrol,,0.16,0.18,0.21,0.2,0.19,0.21,0.23,0.23,0.23
Pakistan,Diesel,83.79,73.59,81.06,97.38,121.24,100.31,107.74,178.34,230.57,215.08
Pakistan,Petrol,73.76,63.4,70.24,4029.85,103.33,98.6,117.65,192.92,,
Panama,Diesel,,,0.63,0.76,0.71,0.54,0.74,1.16,0.97,0.87
Panama,Petrol,,,0.73,0.81,0.76,0.62,0.85,1.11,0.99,0.92
Papua New Guinea,Diesel,,,261.84,325.89,322.39,246.9,310.2,425.66,415.49,422.64
Peru,Diesel,10.25,8.62,8.5,9.21,9.77,8.62,12.23,14.31,13.91,11.81
Peru,Petrol,10.68,9.7,8.88,9.28,9.61,8.63,12.92,16.14,15.83,14.15
Philippines,Diesel,,,34.17,44.6,43.72,36.53,43.71,72.39,62.48,61.26
Philippines,Petrol,,,44.33,52.86,51.04,45.45,52.74,69.97,63.09,61.73
Poland,Diesel,0.98,0.95,1.04,1.15,1.17,1.01,1.18,1.54,1.46,1.5
Portugal,Diesel,1.11,1.13,1.24,1.35,1.36,1.24,1.42,1.8,1.59,1.58
Qatar,Diesel,1.5,1.43,1.58,1.97,1.87,1.28,1.83,2.05,2.05,2.05
Qatar,Petrol,1.15,1.24,1.6,1.9,1.74,1.25,1.88,1.97,1.95,1.94
Romania,Diesel,1.1,1.07,1.05,1.22,1.2,0.97,1.14,1.68,1.45,1.46
Russia,Diesel,35.56,35.8,38.35,43.14,46.45,47.74,257.1,54.66,60.07,63.01
Russian Federation,Petrol,34.54,35.12,37.26,40.9,42.63,43.28,45.61,47.85,49.25,51.1
Saint Lucia,Diesel,,,2.8,2.98,2.99,2.54,2.86,3.64,3.62,3.63
Saudi Arabia,Diesel,0.45,0.45,0.45,0.47,0.47,0.49,0.52,0.64,0.75,1.15
Saudi Arabia,Petrol,0.45,0.75,0.75,1.37,1.46,1.33,2.06,2.18,2.18,2.18
Senegal,Diesel,690.0,598.75,595.0,595.0,625.0,655.0,655.0,655.0,755.0,755.0
Senegal,Petrol,765.0,670.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,
Serbia,Diesel,,136.07,148.81,160.45,160.08,148.2,160.07,201.46,194.86,199.66
Sierra Leone,Diesel,,4875.0,6000.0,7000.0,8000.0,7458.33,9041.67,16.67,24.46,28.92
Slovakia,Diesel,1.07,1.04,1.13,1.24,1.23,1.07,1.24,1.72,1.55,1.5
Slovenia,Diesel,1.11,1.08,1.18,1.28,1.25,1.06,1.27,1.63,1.54,1.53
South Africa,Diesel,1137.89,1350.99,1388.86,1236.94,1454.47,2179.13,2093.04,1988.04,,
South Africa,Petrol,,,1339.08,1519.25,1547.75,1449.67,1736.0,2247.67,2276.33,2277.33
South Korea,Diesel,1211.03,1182.36,1282.69,1391.91,1340.1,1189.83,1391.28,1841.83,1558.72,1502.58
Spain,Diesel,1.02,1.01,1.1,1.2,1.21,1.07,1.24,1.8,1.56,1.47
Sri Lanka,Diesel,102.5,102.5,102.5,115.31,117.58,118.0,124.58,375.22,381.88,350.46
Sri Lanka,Petrol,117.0,117.0,117.0,133.83,134.25,137.0,150.33,356.78,355.42,346.08
Sweden,Diesel,1.28,1.34,1.43,1.51,1.51,1.38,1.67,2.3,2.02,1.58
Syria,Diesel,130.0,159.58,180.0,180.0,358.46,297.5,860.0,1441.67,4222.5,
Syrian Arab Republic,Petrol,160.0,197.92,,,520.83,450.0,633.33,3106.67,5042.11,
Tanzania,Diesel,,1798.0,1883.33,2229.25,2158.75,1861.92,2096.25,2926.58,3058.0,3039.75
Tanzania,Petrol,1798.0,1890.0,2030.58,2317.5,2199.5,1927.67,2240.83,2893.5,3006.83,3130.25
Thailand,Diesel,17.08,18.42,20.67,22.96,21.93,18.11,24.06,33.39,30.36,31.21
Thailand,Petrol,19.33,19.25,21.61,23.02,21.26,16.1,22.47,31.14,29.01,29.04
Togo,Diesel,638.0,494.22,510.0,505.56,567.0,496.25,490.83,722.5,781.25,768.33
Togo,Petrol,592.0,474.22,508.0,503.56,564.0,478.25,471.67,637.5,700.0,698.33
Tunisia,Diesel,,,,,,1.71,1.78,2.01,2.2,2.2
Tunisia,Petrol,,,,,,1.49,1.58,1.79,1.98,1.98
Turkey,Diesel,3.55,3.83,4.68,5.78,6.4,6.03,7.54,22.5,29.1,42.88
UAE,Diesel,1.83,1.68,2.0,2.59,2.41,2.13,2.35,3.76,3.14,2.9
USA,Diesel,2.31,2.31,2.65,3.18,3.06,2.56,3.28,5.0,4.21,3.76
Uganda,Diesel,2933.51,2640.31,3022.06,3588.41,3776.82,3472.72,3615.52,4358.46,4800.0,
Uganda,Petrol,3709.97,3365.67,3549.1,4026.23,4085.09,3851.26,4051.88,4953.46,5400.0,
Ukraine,Diesel,17.0,18.56,22.94,28.35,28.56,23.44,28.11,47.67,50.1,52.53
Ukraine,Petrol,18.66,20.82,24.62,29.25,27.93,22.98,28.33,43.66,47.89,51.82
United Arab Emirates,Petrol,1.61,1.56,1.81,2.2,1.81,,2.2,3.32,2.9,2.76
United Kingdom,Diesel,50.72,53.99,62.43,71.29,71.71,59.83,73.81,116.23,97.44,87.5
United States,Petrol,2.07,2.19,2.47,2.79,2.66,2.65,4.35,4.0,3.61,3.41
Uruguay,Diesel,,,,50.5,50.5,50.5,57.62,66.82,61.59,56.57
Uzbekistan,Diesel,,2388.67,2679.44,4250.0,4832.35,6685.71,7682.08,12014.58,11812.5,11641.67
Uzbekistan,Petrol,,2418.82,2973.33,3379.31,4304.35,5267.05,6612.38,8189.93,7422.92,8672.92
Vanuatu,Diesel,,,,,,134.0,135.8,211.6,191.6,178.88
Venezuela,Diesel,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.05,0.1
Venezuela,Petrol,0.07,0.92,1.0,1.0,1.0,1458.79,1875.26,0.3,0.45,0.5
Viet Nam,Petrol,16790.0,15696.36,17281.5,19139.85,18892.08,14627.5,19620.0,25114.44,22005.21,21380.54
Vietnam,Diesel,13230.0,11739.5,14001.67,17069.17,16328.06,12167.08,15680.0,23356.25,20509.03,19599.79
West Bank & Gaza,Diesel,,5.34,5.44,5.85,4.97,4.79,5.21,5.95,6.19,6.24
Zambia,Diesel,10.88,11.58,12.96,14.88,16.2,18.07,25.27,24.59,26.64,29.57
Zambia,Petrol,9.87,10.51,12.54,14.0,15.54,17.62,23.6,23.69,27.13,31.89
Zimbabwe,Diesel,,,1.32,1.34,8.66,34.66,58.97,321.92,2761.45,4325.12
Zimbabwe,Petrol,,1.31,1.36,1.37,8.53,38.29,59.69,297.09,2612.7,1336.47
